year,tmID,W_team_post,L_team_post,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won_team,lost_team,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,coachID,stint,won_coach,lost_coach,post_wins,post_losses,CBE_Sum,height,weight,award_player,award_coach,playersAge
4,NYL,4.0,4.0,NYL,EA,1,N,W,W,L,New York Liberty,772,1740,400,567,145,400,260,610,870,496,638,261,458,100,2089,691,1733,484,645,149,434,312,649,961,410,597,228,478,88,2015,18,14,32,10,6,8,8,11,10,6450,234717,Madison Square Garden (IV),adubari99w,0,18,14,4,4,0.3772399152608466,71.36363636363636,168.54545454545453,0,0,28.727272727272748
4,PHO,0.0,0.0,PHO,WE,7,N,N,N,N,Phoenix Mercury,793,1889,405,538,100,328,292,626,918,427,623,267,501,94,2091,850,1870,436,608,155,388,309,692,1001,532,600,268,491,127,2291,11,21,32,10,6,1,15,7,14,6400,139798,US Airways Center,shumajo01w,0,0,0,0,0,0.33389565186883857,71.05555555555556,158.0,0,0,26.333333333333258
4,SAC,0.0,0.0,SAC,WE,6,Y,N,N,N,Sacramento Monarchs,780,1945,494,653,112,395,301,648,949,500,675,247,456,109,2166,815,1944,515,681,149,453,352,723,1075,493,633,233,496,128,2294,14,18,32,10,6,4,12,8,13,6575,144179,ARCO Arena (II),mchugma99w,1,14,18,0,0,0.42494740791119895,72.63636363636364,164.36363636363637,0,0,29.63636363636374
4,SEA,0.0,2.0,SEA,WE,4,N,L,N,N,Seattle Storm,794,1948,418,543,182,506,362,633,995,514,623,282,477,151,2188,783,1818,435,587,102,342,307,662,969,488,563,254,531,125,2103,17,15,32,10,6,7,9,10,11,6450,111774,KeyArena at Seattle Center,donovan99w,0,18,14,0,2,0.48824251013293224,71.44444444444444,163.11111111111111,0,0,28.444444444444343
4,WAS,3.0,2.0,WAS,EA,3,N,W,N,N,Washington Mystics,806,1910,359,478,164,443,330,708,1038,516,583,221,455,94,2135,786,1903,397,538,147,446,309,680,989,442,570,237,441,101,2116,17,15,32,9,7,8,8,12,9,6450,259237,Verizon Center,stanlma99w,0,17,15,3,2,0.3378553684774309,72.0909090909091,163.0,1,0,26.818181818181756
5,CHA,0.0,2.0,CHA,EA,2,N,L,N,N,Charlotte Sting,787,1881,456,590,187,517,342,629,971,499,697,279,497,115,2217,790,1902,477,667,138,407,386,621,1007,491,606,264,469,104,2195,18,16,34,13,4,5,12,12,12,6850,120061,Charlotte Coliseum,laceytr99w,0,18,16,0,2,0.3401688628006373,72.0,167.57142857142858,0,0,27.92857142857133
5,CON,2.0,2.0,CON,EA,3,Y,W,L,N,Connecticut Sun,864,2102,479,646,177,549,333,762,1095,520,663,270,434,111,2384,864,2104,509,673,172,536,366,812,1178,553,669,252,476,88,2409,18,16,34,10,7,8,9,11,13,6875,102433,Mohegan Sun Arena,thibami99w,0,18,16,2,2,0.297514176372125,71.0909090909091,166.63636363636363,0,0,27.36363636363626
5,DET,6.0,2.0,DET,EA,1,Y,W,W,W,Detroit Shock,902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,25,9,34,13,4,12,5,18,6,6900,133647,The Palace of Auburn Hills,laimbbi01w,0,25,9,6,2,0.35683698593863006,72.84615384615384,169.46153846153845,6,0,26.076923076923094
5,HOU,1.0,2.0,HOU,WE,2,N,L,N,N,Houston Comets,828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,20,14,34,14,3,6,11,14,10,6825,150203,Compaq Center,chancva99w,0,20,14,1,2,0.46368772707458916,72.08333333333333,161.33333333333334,2,0,28.666666666666742
5,IND,0.0,0.0,IND,EA,5,N,N,N,N,Indiana Fever,839,2011,449,563,210,600,334,654,988,539,668,299,474,121,2337,837,1908,490,638,157,421,309,677,986,570,631,227,512,170,2321,16,18,34,11,6,5,12,12,12,6875,141778,Conseco Fieldhouse,wintebr01w,0,0,0,0,0,0.47448204900975965,72.58333333333333,169.41666666666666,0,0,27.916666666666742
5,LAS,5.0,4.0,LAS,WE,1,Y,W,W,L,Los Angeles Sparks,894,2140,537,678,174,528,336,813,1149,587,682,242,470,161,2499,866,2147,504,702,196,540,316,789,1105,572,654,241,468,127,2432,24,10,34,11,6,13,4,17,7,6900,157934,Staples Center,coopemi01w,1,24,10,5,4,0.3794234891566024,72.2,173.5,6,0,28.59999999999991
5,MIN,1.0,2.0,MIN,WE,4,Y,L,N,N,Minnesota Lynx,875,1978,450,624,180,524,361,718,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,989,528,666,271,471,126,2370,18,16,34,11,6,7,10,14,10,6850,120253,Target Center,mcconsu01w,0,18,16,1,2,0.2686134648463731,73.0,175.16666666666666,0,1,27.166666666666742
